data_type,count,sample_data_decoded
Vec,41794758,"{""type"":""Vec"",""value"":""[GCGK4GZ37UDR6KHCPLR3BGP72CKWQF43ZTVZIRRIJ7TXQAOWGAMQ534Z 592003471522826275]""}"
,24059117,"{""type"":"""",""value"":""(void)""}"
I128,19704256,"{""type"":""I128"",""value"":""46536350""}"
U32,7080495,"{""type"":""U32"",""value"":""43""}"
Address,1265577,"{""type"":""Address"",""value"":""GBKFQ55IGKFEJND3I7C4CY6I3UQY7EMLOBD3HUAFB4T7TLRL2G4UOBCA""}"
U128,1034030,"{""type"":""U128"",""value"":""73178348458""}"
Map,589330,"{""type"":""Map"",""value"":""[{amount_0_in 0} {amount_0_out 2093101790} {amount_1_in 576908348} {amount_1_out 0} {to GBKUE3CEBSN5TJWQIJIJDUSRYEJGICSTE62KQIB24KLIU42GWGB32VNT}]""}"
Str,5140,"{""type"":""Str"",""value"":""bafkreihopsiw6azw6h5dmj72kb7etrrfpa7ywi7ekluau54ieikyt5hfkq""}"
B,4786,"{""type"":""B"",""value"":""true""}"
Bytes,4351,"{""type"":""Bytes"",""value"":""020754328758695d4022fdb4eeb0d0641b9e28933f165765c4029ed6ca9e8bc2""}"
U64,1167,"{""type"":""U64"",""value"":""41""}"
I32,299,"{""type"":""I32"",""value"":""1""}"
Sym,200,"{""type"":""Sym"",""value"":""TEST""}"
