type_signature,count,sample_topics_decoded
"Sym,Address,Address,Str",9633076,"{""topics_decoded"":[{""type"":""Sym"",""value"":""mint""},{""type"":""Address"",""value"":""CDL74RF5BLYR2YBLCCI7F5FB6TPSCLKEJUBSD2RSVWZ4YHF3VMFAIGWA""},{""type"":""Address"",""value"":""CB6VIIZFSN6CVQ5N6MBSO7KZ3EZMIKRTZTNNJ52YBLES72NUOBES7AWB""},{""type"":""Str"",""value"":""KALE:GBDVX4VELCDSQ54KQJYTNHXAHFLBCA77ZY2USQBM4CSHTTV7DME7KALE""}]}"
"Sym,Address,Str",1771326,"{""topics_decoded"":[{""type"":""Sym"",""value"":""burn""},{""type"":""Address"",""value"":""GAD477RB35CF7PUIGB5CM2W5VAU7G2F4XG6DLN6AGSA73BFYQYINE2VH""},{""type"":""Str"",""value"":""KALE:GBDVX4VELCDSQ54KQJYTNHXAHFLBCA77ZY2USQBM4CSHTTV7DME7KALE""}]}"
"Sym,Address,Address,Address",614325,"{""topics_decoded"":[{""type"":""Sym"",""value"":""trade""},{""type"":""Address"",""value"":""CAUIKL3IYGMERDRUN6YSCLWVAKIFG5Q4YJHUKM4S4NJZQIA3BAS6OJPK""},{""type"":""Address"",""value"":""CCKCKCPHYVXQD4NECBFJTFSCU2AMSJGCNG4O6K4JVRE2BLPR7WNDBQIQ""},{""type"":""Address"",""value"":""CBQDHNBFBZYE4MKPWBSJOPIYLW4SFSXAXUTSXJN76GNKYVYPCKWC6QUK""}]}"
"Str,Str",586286,"{""topics_decoded"":[{""type"":""Str"",""value"":""swap""},{""type"":""Str"",""value"":""referral_fee_amount""}]}"
"Sym,Vec,Address",419859,"{""topics_decoded"":[{""type"":""Sym"",""value"":""swap""},{""type"":""Vec"",""value"":""[CAS3J7GYLGXMF6TDJBBYYSE3HQ6BBSMLNUQ34T6TZMYMW2EVH34XOWMA CCW67TSZV3SSS2HXMBQ5JFGCKJNXKZM7UQUWUZPUTHXSTZLEO7SJMI75]""},{""type"":""Address"",""value"":""GCNYSA2XMNE7GRXEG4RXYRO3EL7MFT6IOUSM2QRNRMO4NWS5HTPH2AMG""}]}"
"Str,Sym",382989,"{""topics_decoded"":[{""type"":""Str"",""value"":""SoroswapPair""},{""type"":""Sym"",""value"":""swap""}]}"
"Sym,Address,Address",212480,"{""topics_decoded"":[{""type"":""Sym"",""value"":""transfer""},{""type"":""Address"",""value"":""GAQ25ZOJ3RPBTZLRVEHHXV7EGUQCDCS5Y7GXUDWJZZXLC6N5I3U3EGK2""},{""type"":""Address"",""value"":""CAIR3UPW2PEP27QZWX4XGMO65W6LJ3XCRA3F5G7Z3D52MNOVF5K5YZ56""}]}"
"Sym,Address",59846,"{""topics_decoded"":[{""type"":""Sym"",""value"":""burn""},{""type"":""Address"",""value"":""CAS3FL6TLZKDGGSISDBWGGPXT3NRR4DYTZD7YOD3HMYO6LTJUVGRVEAM""}]}"
"Sym,Sym",49165,"{""topics_decoded"":[{""type"":""Sym"",""value"":""STR_CERT""},{""type"":""Sym"",""value"":""str_cert""}]}"
Sym,32788,"{""topics_decoded"":[{""type"":""Sym"",""value"":""set_rewards_config""}]}"
"Sym,Vec",24470,"{""topics_decoded"":[{""type"":""Sym"",""value"":""config_rewards""},{""type"":""Vec"",""value"":""[CAO7DDJNGMOYQPRYDY5JVZ5YEK4UQBSMGLAEWRCUOTRMDSBMGWSAATDZ CAUIKL3IYGMERDRUN6YSCLWVAKIFG5Q4YJHUKM4S4NJZQIA3BAS6OJPK]""}]}"
"Sym,Sym,Vec",18086,"{""topics_decoded"":[{""type"":""Sym"",""value"":""sw_v1""},{""type"":""Sym"",""value"":""add""},{""type"":""Vec"",""value"":""[Secp256r1 1f1f8789445d83d1bca78ec80106e648]""}]}"
"Sym,U32",5488,"{""topics_decoded"":[{""type"":""Sym"",""value"":""transfer""},{""type"":""U32"",""value"":""8787""}]}"
