asset_code,asset_issuer,cnt
USDC,GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,100272664
NODL,GB2Y3AWXVROM2BHFQKQPTWKIOI3TZEBBD3LTKTVQTKEPXGOBE742NODL,75794579
ASTH,GB3RNZA7QRAQDCY5JYV3RVVUXZPQPREB6IAYKCJTVSGSSEL5UCV3ONGA,54518867
SSLX,GBHFGY3ZNEJWLNO4LBUKLYOCEK4V7ENEBJGPRHHX7JU47GWHBREH37UR,43606269
SHX,GDSTRSHXHGJ7ZIVRBXEYE5Q74XUVCUSEKEBR7UCHEUUEK72N7I7KJ6JH,37140648
AQUA,GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA,29644014
USDT,GCQTGZQQ5G4PTM2GL7CDIFKUBIPEC52BROAQIAPW53XBRJVN6ZJVTG6V,27525969
MOBI,GA6HCMBLTZS5VYYBCATRBRZ3BZJMAFUDKYYF6AH6MVCMGWMRDNSWJPIH,26986756
SLT,GCKA6K5PCQ6PNF5RQBF7PQDJWRHO6UOGFMRLK3DYHDOI244V47XKQ4GP,26699422
SCOP,GC6OYQJIZF3HFXCYPFCBXYXNGIBQ4TNSFUBUXQJOZWIP6F3YZK4QH3VQ,26341551
TERN,GDGQDVO6XPFSY4NMX75A7AOVYCF5JYGW2SHCJJNWCQWIDGOZB53DGP6C,26063120
XXA,GC4HS4CQCZULIOTGLLPGRAAMSBDLFRR6Y7HCUQG66LNQDISXKIXXADIM,25480508
BTC,GBVOL67TMUQBGL4TZYNMY3ZQ5WGQYFPFD5VJRWXR72VA33VFNL225PL5,24962447
USD,GDUKMGUGDZQK6YHYA5Z6AY2G4XDSZPSZ3SW5UN3ARVMO6QSRDWP5YLEX,24609387
BTC,GAUTUYY2THLF7SGITDFMXJVYH3LHDSMGEAKSBU267M2K7A3W543CKUEF,24022499
ETH,GBDEVU63Y6NTHJQQZIKVTC23NWLQVP3WJ2RI2OTSJTNYOIGICST6DUXR,23761610
yXLM,GARDNV3Q7YGT4AKSDF25LT32YSCCW4EV22Y2TV3I2PU2MMXJTEDL5T55,22157033
ETH,GBVOL67TMUQBGL4TZYNMY3ZQ5WGQYFPFD5VJRWXR72VA33VFNL225PL5,21369056
DRA,GCJKSAQECBGSLPQWAU7ME4LVQVZ6IDCNUA5NVTPPCUWZWBN5UBFMXZ53,20823906
RMT,GDEGOXPCHXWFYY234D2YZSPEJ24BX42ESJNVHY5H7TWWQSYRN5ZKZE3N,20548473
EURT,GAP5LETOV6YIE62YAM56STDANPRDO7ZFDBGSNHJQIYGGKSMOZAHOOS2S,20466663
DOGET,GDOEVDDBU6OBWKL7VHDAOKD77UP4DKHQYKOKJJT5PR3WRDBTX35HUEUX,20362044
RIO,GBNLJIYH34UWO5YZFA3A3HD3N76R6DOI33N4JONUOHEEYZYCAYTEJ5AK,19213354
NGNT,GAWODAROMJ33V5YDFY3NPYTHVYQG7MJXVJ2ND3AOGIHYRWINES6ACCPD,18781987
XRP,GBVOL67TMUQBGL4TZYNMY3ZQ5WGQYFPFD5VJRWXR72VA33VFNL225PL5,17152406
SLVR,GBZVELEQD3WBN3R3VAG64HVBDOZ76ZL6QPLSFGKWPFED33Q3234NSLVR,16486036
VELO,GDM4RQUQQUVSKQA7S6EM7XBZP3FCGH4Q7CL6TABQ7B2BEJ5ERARM2M5M,16126776
LAX,GAZZB5KPOWEWK4C5S5H5B6YPR2EQMUIJEFFBNQ6MWYYAG7DOEELBOHLW,14697416
BRL,GDVKY2GU2DRXWTBEYJJWSFXIGBZV6AZNBVVSUHEPZI54LIS6BA7DVVSP,13869961
TFC,GDS3XDJAA4VY6MJYASIGSIMPHZ7AQNZ54RKLWT7MWCOU5YKYEVCNLVS3,13381580
BRAVE,GDREF4TAC3RFYVLHEV24CXN2VBGCEEP74BZOC3T4Q4XJ6SXJFMDPNTJL,13137355
enec,GCNKP3PK5MXAD5TXMIDKQXLAAAQB7OBR2AEFTY2PVVNSNX7KM467IYBF,12943708
USD,GBNLJIYH34UWO5YZFA3A3HD3N76R6DOI33N4JONUOHEEYZYCAYTEJ5AK,12628159
LSP,GAB7STHVD5BDH3EEYXPI3OM7PCS4V443PYB5FNT6CFGJVPDLMKDM24WK,12489114
XLPG,GDDRETFPCQIDWH3LNMIONXSSBWYLXZFSF3WY6UCCIF6NMTW2UKA3R4NX,12396184
KIN,GBDEVU63Y6NTHJQQZIKVTC23NWLQVP3WJ2RI2OTSJTNYOIGICST6DUXR,12379783
WXT,GASBLVHS5FOABSDNW5SPPH3QRJYXY5JHA2AOA2QHH2FJLZBRXSG4SWXT,12317848
yUSDC,GDGTVWSM4MGS4T7Z6W4RPWOCHE2I6RDFCIFZGS3DOA63LWQTRNZNTTFF,11927714
XRP,GBXRPL45NPHCVMFFAYZVUVFFVKSIZ362ZXFP7I2ETNQ3QKZMFLPRDTD5,11691263
FIDR,GBZQNUAGO4DZFWOHJ3PVXZKZ2LTSOVAMCTVM46OEMWNWTED4DFS3NAYH,11574358
GTN,GARFMAHQM4JDI55SK2FGEPLOZU7BTEODS3Y5QNT3VMQQIU3WV2HTBA46,11321017
XCN,GCNY5OXYSY4FKHOPT2SPOQZAOEIGXB5LBYW3HVU3OWSTQITS65M5RCNY,10855355
CENTUS,GAKMVPHBET4T7DPN32ODVSI4AA3YEZX2GHGNNSBGFNRQ6QEVKFO4MNDZ,10286669
XRP,GCNSGHUCG5VMGLT5RIYYZSO7VQULQKAJ62QA33DBC5PPBSO57LFWVV6P,10044722
CNY,GAREELUB43IRHWEASCFBLKHURCGMHE5IF6XSE7EXDLACYHGRHM43RFOX,9518004
XLMG,GCVNN7O5JISPEYUTLK3JYGBDWCPDIHB4MTG4PMSJVIKJCR64NOXWI3YH,9432552
AFR,GBX6YI45VU7WNAAKA3RBFDR3I3UKNFHTJPQ5F6KOOKSGYIAM4TRQN54W,8867953
BTC,GCNSGHUCG5VMGLT5RIYYZSO7VQULQKAJ62QA33DBC5PPBSO57LFWVV6P,8739765
TZS,GA2MSSZKJOU6RNL3EJKH3S5TB5CDYTFQFWRYFGUJVIN5I6AOIRTLUHTO,8589527
LTC,GBVOL67TMUQBGL4TZYNMY3ZQ5WGQYFPFD5VJRWXR72VA33VFNL225PL5,7956894
BTC,GATEMHCCKCY67ZUCKTROYN24ZYT5GK4EQZ65JJLDHKHRUZI3EUEKMTCH,7951664
ARST,GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG,7454750
GOLD,GAJSVHNJ7WNU3M2URGC76NJLL6FDEC5Z2DUJZO24J6MVWLZGE6XIV4PF,7213477
MAG,GAACROE4I6LRXKDKAJ4PKGQHRAU43ZDKRBBSNCVYW5TXBP4RAWO62JAH,7103249
GRX,GAQQZMUNB7UCL2SXHU6H7RZVNFL6PI4YXLPJNBXMOZXB2LOQ7LODH333,6821319
USDT,GCCK3X3KRXHZOO5OVQHGTJKMBWTTNRDTYB3F4NM3ZEUK37XFMYFCSCLX,6778399
GRAT,GAJ7V3EMD3FRWAPBEJAP7EC4223XI5EACDZ46RFMY5DYOMCIMWEFR5II,6719277
SHIB,GBNO52SQ5WBG3N7Y35HO7BOWNGEWLNJCJK4N4J6XBWLCHZ3AZHWOPRKF,6540999
DOGE,GCNSGHUCG5VMGLT5RIYYZSO7VQULQKAJ62QA33DBC5PPBSO57LFWVV6P,6462165
LEVELG,GC3L2FLR2QMUSOJ6QMQHKIWUKEXGOXSIN2KY72SDUHPC2KO6HOSQIXIF,6309778
GOLD,GBC5ZGK6MQU3XG5Y72SXPA7P5R5NHYT2475SNEJB2U3EQ6J56QLVGOLD,6282350
SNIPPET,GCN2I52BQDAHGM2AYZGRJ3N4YQSDTUCHXLITKYFAFCG5DKSEVIJFK4FF,5791127
IDR,GBZXY3R47XIBR5O2EPPQ3P66AHQGCL2TGZ3UXS77IGIEBXV6PMS73TWQ,5741618
KALE,GBDVX4VELCDSQ54KQJYTNHXAHFLBCA77ZY2USQBM4CSHTTV7DME7KALE,5696976
AST,GD37IPUOL42WZKMAMPDCYVDJ4OODFYEKXVQJ4I3QVMHNW6GLRVIPW52K,5530738
DOGETF,GBJY33ZDHNAO6LPHZYPWGIYQ3FHM2QLTTYFOIUJOKY6VJICRTB5AHX53,5159147
STELLARMAN,GACERHSMXTQPNEVNPXZDWL55SLWV7MXMHOZCFSGSSTRXWN4WGVZ34ZEA,5095503
Lira,GBU3EGQOBG2MVHEJU3CV6ERWODNGHNYSPK4EHC3ZKEJJ6WW2V2ISLQ3C,5092778
BB1,GD5J6HLF5666X4AZLTFTXLY46J5SW7EXRKBLEYPJP33S33MXZGV6CWFN,4981832
USD,GC2ATEL4K2O5BJO7Z76MYSV6TKHCROKV5GXEOU7NO2TUEOOMFDDIPWID,4865723
BAT,GBDEVU63Y6NTHJQQZIKVTC23NWLQVP3WJ2RI2OTSJTNYOIGICST6DUXR,4768665
USDS,GBK4AYTOYIAYT4UJECSQGMACUWLKYOOM4VCAUUZ3Y3FG5XD2LYK3FGK2,4766388
PALL,GCQ5ZYECTNYW6BZ47AZN6M5BXKV7ZZ24XPNHPSYZVUDVK7CIITOMPALL,4682005
GDOGE,GBJQWD2FBFFPUMICLLBEWUIZNQ7UVLDMB7NCDID7Z6ORJ36VKJCYW3C2,4624584
ETH,GBETHKBL5TCUTQ3JPDIYOZ5RDARTMHMEKIO2QZQ7IOZ4YC5XV3C2IKYU,4589110
PLAT,GBIMVJJJOTAKJYWJIY5YEXDZ4QIWQZLRJ4BXVHKH6EXWQ3WAEYBTPLAT,4544879
LTC,GCNSGHUCG5VMGLT5RIYYZSO7VQULQKAJ62QA33DBC5PPBSO57LFWVV6P,4420063
ETX,GCEFMSNWXTALXQPRQFIXOMWJHZFDEQJBM26RGEDZUDFMU32JB6WJGRJX,4289564
USD,GB2O5PBQJDAFCNM2U2DIMVAEI7ISOYL4UJDTLN42JYYXAENKBWY6OBKZ,4127628
YNB,GDGWUSHVMXJ5OORRBOCTYJQR3RRT4EBMTE67JX7V3W6GDSJCVLBNDOY3,4097328
LTC,GC5LOR3BK6KIOK7GKAUD5EGHQCMFOGHJTC7I3ELB66PTDFXORC2VM5LP,3983315
AFRX,GBDTAQDRSX3QOEAQQKYWRGOTFE5FHQTLIH5YAF2HGUY3PBKRXWDKBLHN,3971780
HOTDOG,GAENRLBJVADCN26ISXDVF7NRJ3LYDIOMTGDSKOJJGSQVEUKGJFJCI5XR,3931774
LINK,GBDEVU63Y6NTHJQQZIKVTC23NWLQVP3WJ2RI2OTSJTNYOIGICST6DUXR,3916415
XAF,GCNSGHUCG5VMGLT5RIYYZSO7VQULQKAJ62QA33DBC5PPBSO57LFWVV6P,3778821
HAFN,GAQXN6V7TH4STTLF66YYWL5UCU6QGAABPQO2BHGKB2A5HXOFAVQ2AMSW,3422375
SDOGE,GDKZXCRYKOFFSRI37TI4XQCUQJH544M5SRC2TNFTWIDEO4Z6MUZO2FDS,3396041
CREDIT,GBAKUWF2HTJ325PH6VATZQ3UNTK2AGTATR43U52WQCYJ25JNSCF5OFUN,3393697
BTCLN,GDPKQ2TSNJOFSEE7XSUXPWRP27H6GFGLWD7JCHNEYYWQVGFA543EVBVT,3329617
DOGE,GCC6CUE3F7D3YVFNGJH7POOGVYWMPOQLBUVDN3MELCTWNZ25JZQFGXSQ,3288714
RAJA,GBZXY3R47XIBR5O2EPPQ3P66AHQGCL2TGZ3UXS77IGIEBXV6PMS73TWQ,3230159
HODL,GAQEDFS2JK6JSQO53DWT23TGOLH5ZUZG4O3MNLF3CFUZWEJ6M7MMGJAV,3203588
ZWL,GDYG7OEXT7GO2WOYJKRFMYK6PXQTPFRKO4JSNRRZWE4JM2V6QWQR2QZD,3198042
XMATK,GAB66NHLWO2X4CEO6V6KOO3MCHGX6ZTU6PIG32PEFR4L3R7U4PWFIAS7,3193085
MFN,GC55P5MTVPOPPY7NBBS5RPRUF5K3667ZQ2GN4J5GGE6AZVLPC72S5K46,3185567
RGAS,GBZXY3R47XIBR5O2EPPQ3P66AHQGCL2TGZ3UXS77IGIEBXV6PMS73TWQ,3132760
FRED,GCA73U2PZFWAXJSNVMEVPNPPJCZGETWPWZC6E4DJAIWP3ZW3BAGYZLV6,3122571
XRP,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,3048037
ZAR,GDYG7OEXT7GO2WOYJKRFMYK6PXQTPFRKO4JSNRRZWE4JM2V6QWQR2QZD,3026005
DMH,GBHNN74UE7ARSEGPRJOYEHSAJ6AJMTNVJEF7TN3WLNFZZXIQ2AHJAXNE,3010351
yETH,GDYQNEF2UWTK4L6HITMT53MZ6F5QWO3Q4UVE6SCGC4OMEQIZQQDERQFD,2919293
TRUMP,GDT32DS4MTPXLS3M3HYVFFFIYFCGSG2IFSAYPXAY6BBKQI3UJCK545AE,2900388
ELON,GD3VPDXGUPGXC4DSTZREYJMDNSQRSHAMR3PDGCOR5RZT74R5GHKIEBE3,2843761
QADSAN,GAOLE7JSN4OB7344UCOOEGIHEQY2XNLCW6YHKOCGZLTDV4VRTXQM27QU,2817140
BCH,GCNSGHUCG5VMGLT5RIYYZSO7VQULQKAJ62QA33DBC5PPBSO57LFWVV6P,2807063
PENDULUM,GBQL4O5YGPG24C47CYQDAWBTSYOEUCMC2OLUETLMDFIC2ST4LSWCRQEB,2771131
ANGN,GDNUVPUOMWOF2ML5FA5E4HQDX7EHV3VCJTLLTO563PUMZKMHJUJIJSYI,2756862
SOLA,GALI5MS7DTKBFBPAP4GQUSSJ6D42KC2Y7WCIZMGYZ45E2OCDX4ZCSHLU,2745535
NRV,GANRAE2FXMIU4V7CPLXFHWZNGCCSW7WEVBN2P3ZWA7FWWVED6OJSKKX2,2593857
TESLAWHISKEY,GAT7QUW433C7XRLSJPZMYNBALZ3BJN4JC3DMVJDN36XCIIYUBV7FJ53O,2592833
PENDULUMSWAP,GD4K4475PI45TV2C4PV4XFTDNREVKWUYLWOAVUC2YXFHQ2KYPWBO36QO,2549350
ETH,GCNSGHUCG5VMGLT5RIYYZSO7VQULQKAJ62QA33DBC5PPBSO57LFWVV6P,2535143
TFT,GBOVQKJYHXRR3DX6NOX2RRYFRCUMSADGDESTDNBDS6CDVLGVESRTAC47,2510993
GLASS,GACERHSMXTQPNEVNPXZDWL55SLWV7MXMHOZCFSGSSTRXWN4WGVZ34ZEA,2504433
REPO,GCZNF24HPMYTV6NOEHI7Q5RJFFUI23JKUKY3H3XTQAFBQIBOHD5OXG3B,2481356
